id,stock_id,date,close,open,high,low
874,4,2021-01-08,219.62,218.68,220.58,217.03
875,4,2021-01-07,218.29,214.04,219.34,213.71
876,4,2021-01-06,212.25,212.17,216.49,211.94
877,4,2021-01-05,217.9,217.26,218.52,215.7
878,4,2021-01-04,217.69,222.53,223,214.81
879,4,2020-12-31,222.42,221.7,223,219.68
880,4,2020-12-30,221.68,225.23,225.63,221.47
881,4,2020-12-29,224.15,226.31,227.18,223.58
882,4,2020-12-28,224.96,224.45,226.03,223.02
883,4,2020-12-24,222.75,221.42,223.61,221.2
884,4,2020-12-23,221.02,223.11,223.56,220.8
885,4,2020-12-22,223.94,222.69,225.63,221.85
886,4,2020-12-21,222.59,217.55,224,217.28
887,4,2020-12-18,218.59,218.59,219.69,216.02
888,4,2020-12-17,219.42,219.87,220.89,217.92
889,4,2020-12-16,219.28,214.75,220.11,214.72
890,4,2020-12-15,214.13,215.17,215.42,212.24
891,4,2020-12-14,214.2,213.1,216.21,212.88
892,4,2020-12-11,213.26,210.05,213.32,209.11
893,4,2020-12-10,210.52,211.77,213.08,210.36
894,4,2020-12-09,211.8,215.16,215.23,211.21
895,4,2020-12-08,216.01,213.97,216.95,212.89
896,4,2020-12-07,214.29,214.37,215.54,212.99
897,4,2020-12-04,214.36,214.22,215.38,213.18
898,4,2020-12-03,214.24,214.61,216.38,213.65
899,4,2020-12-02,215.37,214.88,215.47,212.8
900,4,2020-12-01,216.21,214.51,217.32,213.35
901,4,2020-11-30,214.07,214.1,214.76,210.84
902,4,2020-11-27,215.23,214.85,216.27,214.04
903,4,2020-11-25,213.87,215.11,215.29,212.46
904,4,2020-11-24,213.86,209.59,214.25,208.86
905,4,2020-11-23,210.11,210.95,212.29,208.16
906,4,2020-11-20,210.39,212.2,213.29,210
907,4,2020-11-19,212.42,211.38,213.03,209.93
908,4,2020-11-18,211.08,213.65,215.17,210.93
909,4,2020-11-17,214.46,216.1,217.68,214.08
910,4,2020-11-16,217.23,214.87,217.74,214.52
911,4,2020-11-13,216.51,216.36,217.42,214.16
912,4,2020-11-12,215.44,217.21,219.11,214.46
913,4,2020-11-11,216.55,212.39,218.04,212.2
914,4,2020-11-10,211.01,214.5,216.5,209.72
