id,Date,Close,Volume,Open,High,Low
10,3/24/21,$76.48 ,43753640,$77.55 ,$78.80 ,$76.40 
10,3/23/21,$78.38 ,40466640,$80.13 ,$80.34 ,$77.95 
10,3/22/21,$80.30 ,39648610,$79.99 ,$81.27 ,$79.22 
10,3/19/21,$79.06 ,42283390,$78.49 ,$79.34 ,$77.59 
10,3/18/21,$78.12 ,51036500,$81.06 ,$81.62 ,$78.01 
10,3/17/21,$82.63 ,43320570,$81.75 ,$83.25 ,$80.41 
10,3/16/21,$82.75 ,42971550,$83.66 ,$84.75 ,$82.26 
10,3/15/21,$82.50 ,39365420,$81.91 ,$83.39 ,$81.20 
10,3/12/21,$81.05 ,32937950,$79.73 ,$81.19 ,$79.23 
10,3/11/21,$81.23 ,43583720,$79.40 ,$81.89 ,$79.37 
10,3/10/21,$77.52 ,45416620,$79.75 ,$80.04 ,$77.41 
10,3/9/21,$78.53 ,45088340,$76.73 ,$79.22 ,$75.77 
10,3/8/21,$73.96 ,54563870,$78.03 ,$79 ,$73.86 
10,3/5/21,$78.52 ,58548910,$79 ,$79.48 ,$74.20 
10,3/4/21,$77.75 ,60549370,$80.23 ,$81.81 ,$76.78 
10,3/3/21,$80.86 ,43541040,$84.28 ,$84.38 ,$80.85 
10,3/2/21,$84.13 ,34828160,$86.92 ,$86.95 ,$84.04 
10,3/1/21,$86.39 ,32746180,$85.37 ,$86.50 ,$83.97 
10,2/26/21,$84.51 ,48962910,$83.57 ,$85.59 ,$82.91 
10,2/25/21,$82.42 ,54625140,$86.17 ,$87.09 ,$81.92 
10,2/24/21,$86.94 ,40821150,$84.33 ,$87.09 ,$82.81 
10,2/23/21,$84.74 ,49720910,$83.40 ,$85.11 ,$79.36 
10,2/22/21,$85.37 ,36930180,$88.15 ,$88.30 ,$85.21 
10,2/19/21,$89.58 ,29548270,$89.75 ,$90.42 ,$88.69 
10,2/18/21,$88.64 ,35624950,$89.09 ,$89.60 ,$87.31 
10,2/17/21,$89.94 ,32284080,$90.56 ,$90.96 ,$88.57 
10,2/16/21,$91.46 ,35105920,$93.90 ,$94 ,$90.75 
10,2/12/21,$93.77 ,38538350,$92.75 ,$94.22 ,$91.90 
10,2/11/21,$92.66 ,35571030,$92.90 ,$93.65 ,$91.33 
10,2/10/21,$92.35 ,42441300,$91.50 ,$93.27 ,$90.46 
10,2/9/21,$90.91 ,37596450,$91.39 ,$93.30 ,$90.55 
10,2/8/21,$91.47 ,47639890,$88.31 ,$91.99 ,$87.98 
10,2/5/21,$87.90 ,30268680,$88.15 ,$88.36 ,$86.88 
10,2/4/21,$87.84 ,30791640,$88.22 ,$88.60 ,$87.06 
10,2/3/21,$87.89 ,32312890,$88.60 ,$89.48 ,$87.34 
10,2/2/21,$88.86 ,33850050,$88.49 ,$89.28 ,$86.95 
10,2/1/21,$87.66 ,42359340,$86.83 ,$87.95 ,$84.66 
10,1/29/21,$85.64 ,56735830,$87.56 ,$88.33 ,$85.02 
10,1/28/21,$87.52 ,47048360,$89.83 ,$89.88 ,$87.30 
10,1/27/21,$88.84 ,73341190,$91.10 ,$91.88 ,$86.22 
10,1/26/21,$94.71 ,59449050,$94.91 ,$95.72 ,$93.63 
10,1/25/21,$94.13 ,55086940,$94.14 ,$95.74 ,$91.40 
10,1/22/21,$92.79 ,71294710,$94.42 ,$95.95 ,$91.88 
10,1/21/21,$91.53 ,54596080,$89.34 ,$92.07 ,$88.43 
10,1/20/21,$88.75 ,35185810,$90.55 ,$90.78 ,$88.60 
10,1/19/21,$89.45 ,45115060,$89.56 ,$89.58 ,$87.24 
10,1/15/21,$88.21 ,49340340,$90.75 ,$91.59 ,$87.86 
10,1/14/21,$90.79 ,53408240,$91.77 ,$92.36 ,$90.45 
10,1/13/21,$91.78 ,60712900,$93.01 ,$93.89 ,$90.84 
10,1/12/21,$95.36 ,67672310,$97.86 ,$98.97 ,$94.07 
10,1/11/21,$97.25 ,48669100,$94.03 ,$99.23 ,$93.76 
10,1/8/21,$94.58 ,39816400,$95.98 ,$96.40 ,$93.27 
10,1/7/21,$95.16 ,42897160,$91.33 ,$95.51 ,$91.20 
10,1/6/21,$90.33 ,51911660,$91.62 ,$92.28 ,$89.46 
10,1/5/21,$92.77 ,34207990,$92.10 ,$93.21 ,$91.41 
10,1/4/21,$92.30 ,51802550,$92.11 ,$96.06 ,$90.92 
10,12/31/20,$91.71 ,24930680,$92.10 ,$92.30 ,$90.87 
10,12/30/20,$92.29 ,25844970,$90.78 ,$92.85 ,$90.19 
10,12/29/20,$90.62 ,31748210,$91.66 ,$92.46 ,$89.43 
10,12/28/20,$91.60 ,30627300,$92.93 ,$93.14 ,$90.82 
10,12/24/20,$91.81 ,16705910,$91.80 ,$92.51 ,$91.31 
10,12/23/20,$91.55 ,25993350,$93.08 ,$93.13 ,$91.46 
10,12/22/20,$93.16 ,35717840,$93.36 ,$93.55 ,$90.53 
10,12/21/20,$93.23 ,47093890,$94.25 ,$95.28 ,$91.08 
