Date,Close/Last,Volume,Open,High,Low
10/09/2020,$21.47,37328970,$21.62,$21.74,$21.32
10/08/2020,$21.44,77719580,$22.05,$22.45,$21.29
10/07/2020,$21.56,59354280,$21.06,$21.77,$20.79
10/06/2020,$20.67,73217120,$21.71,$21.94,$20.6
10/05/2020,$21.59,60860110,$21.66,$21.92,$21.07
10/02/2020,$21.18,92713560,$20.83,$22.2,$20.8
10/01/2020,$21.76,79117100,$21.68,$21.96,$20.83
09/30/2020,$21.22,183530500,$21.72,$22.59,$20.76
09/29/2020,$20.85,164378500,$18.76,$21.12,$18.71
09/28/2020,$18.81,42786230,$18.88,$19.16,$18.43
09/25/2020,$18.32,44122150,$18.02,$18.62,$17.95
09/24/2020,$17.85,71069510,$17.32,$18.39,$16.75
09/23/2020,$17.96,70568090,$19.22,$19.36,$17.8
09/22/2020,$19.23,61061120,$18.48,$19.45,$18.37
09/21/2020,$18.81,75969550,$19.05,$19.265,$17.66
09/18/2020,$19.41,54885510,$19.72,$19.88,$18.94
09/17/2020,$19.3,55186590,$18.26,$19.33,$18.08
09/16/2020,$19.01,57845790,$19.27,$19.54,$18.52
09/15/2020,$19.19,111630500,$19.1,$20.25,$18.88
09/14/2020,$18.73,68234900,$18.18,$18.78,$17.9
09/11/2020,$17.97,55373490,$18,$18.1,$17.45
09/10/2020,$17.74,79679830,$18.49,$18.72,$17.49
09/09/2020,$18.09,90988420,$17.9,$18.63,$17.7
09/08/2020,$17.03,89624570,$17.17,$17.86,$16.51
09/04/2020,$17.98,163329800,$18.54,$19.18,$15.61
09/03/2020,$18.7,128358400,$19.09,$19.84,$18.3526
09/02/2020,$19.9,153460600,$20.92,$21.05,$18.5
09/01/2020,$20.12,137644800,$19.45,$20.38,$18.75
08/31/2020,$19.03,226610900,$17.19,$19.83,$16.82
08/28/2020,$18.5,155242300,$18.87,$19.44,$18.11
08/27/2020,$19.88,199850300,$19.99,$20.47,$18.76
08/26/2020,$20.44,364104600,$19.01,$20.97,$18.56
08/25/2020,$17.84,299047800,$15.08,$17.87,$15.06
08/24/2020,$14.97,98697700,$14.63,$14.98,$14.31
08/21/2020,$14.12,70189910,$13.64,$14.58,$13.62
08/20/2020,$13.78,50072790,$13.85,$14.05,$13.53
08/19/2020,$14.06,41966840,$14.29,$14.41,$13.85
08/18/2020,$14.3,69962360,$14.23,$14.69,$13.871
08/17/2020,$14.05,78340480,$13.07,$14.05,$13.06
08/14/2020,$13.1,63250750,$13.18,$13.18,$12.54
08/13/2020,$13.36,50093550,$13.45,$13.64,$13.17
08/12/2020,$13.36,77471430,$13.37,$13.45,$12.67
08/11/2020,$12.99,181311500,$15.3,$15.45,$12.94
08/10/2020,$14.21,84267290,$13.94,$14.42,$13.68
08/07/2020,$13.42,57745960,$13.54,$13.73,$13.2
08/06/2020,$13.84,49787710,$14.1,$14.31,$13.52
08/05/2020,$13.92,60375030,$13.41,$14.075,$13.3739
08/04/2020,$13.64,125731400,$14.46,$14.53,$13.22
08/03/2020,$13.6,122925300,$12.53,$13.67,$12.46
07/31/2020,$11.94,61813810,$12.41,$12.59,$11.73
07/30/2020,$12.2,64952910,$12.62,$12.95,$12.07
